time,open,high,low,close,Volume,Volume MA
2020-05-29T15:30:00Z,219.44,219.44,218.65,218.945,24.4127,24.58856650000012
2020-05-29T16:00:00Z,219.09,220.36,219.09,220.05,21.98344,24.81981000000012
2020-05-29T16:30:00Z,220.205,220.965,220.105,220.965,15.99016,23.45947450000012
2020-05-29T17:00:00Z,221.22,221.9,221.14,221.42,9.67656,22.45907450000012
2020-05-29T17:30:00Z,221.01,221.01,220.18,220.32,32.39025,23.550209500000122
2020-05-29T18:00:00Z,220.405,220.405,219.54,219.85,10.33836,21.951306500000122
2020-05-29T18:30:00Z,220.015,220.3,219.32,219.495,29.27505,21.970827500000123
2020-05-29T19:00:00Z,219.845,220.2,219.71,219.84,6.35733,20.600873500000123
2020-05-29T19:30:00Z,219.59,219.685,219.06,219.29,6.52226,19.744047500000125
2020-05-29T20:00:00Z,219.35,220.01,219.35,219.88,5.13834,18.752055000000126
2020-05-29T20:30:00Z,219.78,219.78,219.49,219.49,0.89911,17.119562000000126
2020-05-29T21:00:00Z,219.12,219.2,218.81,218.81,12.59451,16.096902500000127
2020-05-29T21:30:00Z,218.96,219.27,218.93,219.27,2.99432,14.893220000000127
2020-05-29T22:00:00Z,217.98,219.42,217.98,219.02,5.35352,14.627512500000128
2020-05-29T22:30:00Z,219.39,220.47,219.39,220.47,4.69025,13.890446500000127
2020-05-29T23:00:00Z,220.47,220.7,220.28,220.65,1.88886,13.462752000000128
2020-05-29T23:30:00Z,220.43,220.43,219.79,219.98,16.41366,12.671145000000127
2020-05-30T00:00:00Z,219.38,219.56,218.5,218.5,12.32473,12.916558500000127
2020-05-30T00:30:00Z,218.58,219.03,218.58,219.03,1.74442,12.526296000000126
2020-05-30T01:00:00Z,218.43,219.44,218.43,219.44,13.81132,11.739957500000127
2020-05-30T01:30:00Z,218.5,218.8,218.45,218.8,9.04714,10.971679500000127
2020-05-30T02:00:00Z,218.77,219.3,218.77,219.3,6.62702,10.203858500000127
2020-05-30T03:00:00Z,218.65,221.05,218.64,221.05,7.94722,9.801711500000126
2020-05-30T03:30:00Z,221.16,221.7,221.16,221.51,12.93452,9.964609500000126
2020-05-30T04:00:00Z,222.15,226.4,221.89,226.4,76.05809,12.148001500000126
2020-05-30T04:30:00Z,226.25,228.39,226.11,228.39,23.24228,12.793197500000126
2020-05-30T05:00:00Z,227.99,227.99,226.38,227.88,90.33916,15.846403000000127
2020-05-30T05:30:00Z,227.74,231.57,227.74,231.57,22.49136,16.653104500000126
2020-05-30T06:00:00Z,231.49,231.54,229.24,230,46.15425,18.634704000000124
2020-05-30T06:30:00Z,230.7,232.76,230.67,232.12,40.66329,20.410951500000124
2020-05-30T07:00:00Z,231.23,232.13,230.8,232.13,11.08835,20.920413500000123
2020-05-30T07:30:00Z,232.6,233,231.21,231.88,27.48206,21.664791000000122
2020-05-30T08:00:00Z,231.98,233.65,231.91,233.65,38.39247,23.43469850000012
2020-05-30T08:30:00Z,233.12,233.25,231.4,232.17,61.71385,26.25271500000012
2020-05-30T09:00:00Z,231.55,232.1,231.52,232.1,28.03404,27.419904500000122
2020-05-30T09:30:00Z,232.16,232.47,231.65,231.65,33.77898,29.01441050000012
2020-05-30T10:00:00Z,232.16,233.86,232.16,233.86,18.59143,29.123299000000117
2020-05-30T10:30:00Z,233.24,234.56,233.15,234.31,14.31227,29.222676000000114
2020-05-30T11:00:00Z,234.67,237.79,234.3,237.17,38.59609,31.065259500000117
2020-05-30T11:30:00Z,237.82,237.93,235.26,236.59,56.32951,33.191169000000116
2020-05-30T12:00:00Z,236.99,237.37,235.1,235.45,184.19839,41.948731500000115
2020-05-30T12:30:00Z,235.94,237.04,235.63,235.94,23.39898,42.78732950000012
2020-05-30T13:00:00Z,236.34,236.66,235.42,235.42,21.86564,43.48325050000012
2020-05-30T13:30:00Z,235.34,237.36,235.34,236.98,59.21545,45.797297000000114
2020-05-30T14:00:00Z,237.09,238,236.42,237.75,19.20856,42.95482050000012
2020-05-30T14:30:00Z,238,239.07,237.97,238.76,14.96598,42.54100550000011
2020-05-30T15:00:00Z,237.05,237.05,233.93,234.18,41.70188,40.10914150000011
2020-05-30T15:30:00Z,234.26,235.3,234.01,235.3,25.41467,40.255307000000116
2020-05-30T16:00:00Z,236.1,236.36,234.74,236,17.35496,38.81534250000011
2020-05-30T16:30:00Z,235.64,236.78,235.64,236.32,4.58985,37.01167050000011
2020-05-30T17:00:00Z,236,236.16,235.49,235.49,2.17913,36.56620950000011
2020-05-30T17:30:00Z,235.74,236.32,235.74,236.03,0.99943,35.242078000000106
2020-05-30T18:00:00Z,236.05,237.67,235.71,237.67,39.42915,35.293912000000105
2020-05-30T18:30:00Z,237.21,237.61,236.92,236.92,2.75033,32.34573600000011
2020-05-30T19:00:00Z,236.68,236.68,235.72,236.37,30.06626,32.44734700000011
2020-05-30T19:30:00Z,236.96,237.35,236.69,236.89,11.26036,31.321416000000102
2020-05-30T20:00:00Z,235.32,235.76,234.84,235.56,36.63348,32.223518500000104
2020-05-30T20:30:00Z,235.68,235.72,234.25,235.23,46.02448,33.809129000000105
2020-05-30T21:00:00Z,236.06,236.41,235.56,236.41,4.35735,32.097192000000106
2020-05-30T21:30:00Z,236.71,239.58,236.5,239.27,18.26464,30.1939485000001
2020-05-30T22:00:00Z,239.18,245.04,238.28,244,1015.70548,71.76930300000011
2020-05-30T22:30:00Z,244.11,246.5,243.09,246.18,603.27943,100.76332550000011
2020-05-30T23:00:00Z,245,245.61,242.01,244.09,1288.88772,164.11442950000009
2020-05-30T23:30:00Z,243.77,245,242.9,244.59,759.4661,199.1269620000001
2020-05-31T00:00:00Z,243.85,243.87,241.76,243.51,25.95057,199.4640625000001
2020-05-31T00:30:00Z,242.98,245.59,242.98,244.99,674.92176,232.4618515000001
2020-05-31T01:00:00Z,244.96,245.88,242.67,242.67,74.98257,234.12588600000012
2020-05-31T01:30:00Z,243.31,243.49,242.49,243.04,14.57425,233.58386500000012
2020-05-31T02:00:00Z,242.64,243.1,242.19,243.02,32.16145,234.3241895000001
2020-05-31T02:30:00Z,243.35,244.02,243.15,243.43,7.20665,234.45502950000008
2020-05-31T03:00:00Z,242.64,242.82,240,241.11,15.41305,235.1167255000001
2020-05-31T03:30:00Z,240.6,240.6,235.13,237.23,41.34583,237.1340455000001
2020-05-31T04:00:00Z,237.72,237.95,236.66,236.74,19.14796,236.1199860000001
2020-05-31T04:30:00Z,236.82,238.37,236.82,238.3,77.60213,239.86257600000013
2020-05-31T05:00:00Z,238.9,238.9,238.8,238.8,0.06791,238.36265850000012
2020-05-31T05:30:00Z,238.63,238.63,237.42,237.42,35.25042,239.56216150000014
2020-05-31T06:00:00Z,237.88,238.82,237.87,237.87,4.24063,237.94251900000012
2020-05-31T06:30:00Z,237.37,238.06,237.37,238.06,1.69522,235.7260560000001
2020-05-31T07:00:00Z,239.12,239.17,238.5,239.17,0.29922,235.5231495000001
2020-05-31T07:30:00Z,238.85,240.16,238.8,239.25,14.31105,235.32547000000008
2020-05-31T08:00:00Z,238.46,239.22,237.97,237.97,32.80022,186.18020700000008
2020-05-31T08:30:00Z,237.75,237.75,235.92,236.16,35.38454,157.78546250000008
2020-05-31T09:00:00Z,235.87,237.88,235.87,237.4,2.68266,93.47520950000009
2020-05-31T09:30:00Z,237.91,237.92,236.46,236.5,8.87674,55.94574150000009
2020-05-31T10:00:00Z,237.81,237.81,237.49,237.49,0.16091,54.65625850000009
2020-05-31T10:30:00Z,238.03,239.17,238.03,239.16,35.47214,22.683777500000097
2020-05-31T11:00:00Z,238.07,238.07,237.86,237.98,7.97002,19.333150000000096
2020-05-31T11:30:00Z,237.54,238.61,237.54,238.61,2.53153,18.731014000000094
2020-05-31T12:00:00Z,238.61,239.45,238.61,238.82,8.24894,17.535388500000092
2020-05-31T12:30:00Z,238.82,238.82,237.86,238.25,5.85773,17.467942500000092
2020-05-31T13:00:00Z,237.89,237.89,236.54,236.54,21.67642,17.78111100000009
2020-05-31T13:30:00Z,237.45,237.45,236.89,236.89,0.11141,15.719390000000093
2020-05-31T14:00:00Z,236.65,236.73,236.27,236.27,16.93633,15.608808500000091
2020-05-31T14:30:00Z,236.51,236.51,233.92,234.02,46.22528,14.039966000000092
2020-05-31T15:00:00Z,234.09,234.11,232.38,232.38,104.46329,19.25973500000009
2020-05-31T15:30:00Z,232.31,233.57,231.96,232.53,45.18923,19.756675500000092
2020-05-31T16:00:00Z,232.77,234.61,232.77,234.35,22.02284,20.64578600000009
2020-05-31T16:30:00Z,234.93,235.36,234.37,235.36,7.06364,20.91420700000009
2020-05-31T17:00:00Z,235.26,235.26,233.99,234.72,73.23165,24.560828500000092
2020-05-31T17:30:00Z,234.71,234.71,233.75,233.83,6.28573,24.15956250000009
2020-05-31T18:00:00Z,234.14,235.1,233.8,233.8,21.29275,23.584189000000087
2020-05-31T18:30:00Z,233.82,233.82,233.71,233.71,5.55521,22.092722500000086
2020-05-31T19:00:00Z,233.97,235.38,233.97,235.38,1.97244,22.057211500000086
2020-05-31T19:30:00Z,235.01,235.98,234.75,235.95,1.95964,21.711356500000086
2020-05-31T20:00:00Z,235.62,235.62,234.58,234.58,0.75392,21.74100700000009
2020-05-31T20:30:00Z,234.75,235.5,234.75,234.97,4.23283,20.179041500000086
2020-05-31T21:00:00Z,234.65,234.65,232.29,232.29,19.78086,20.76958350000009
2020-05-31T21:30:00Z,232.06,235.17,232.06,233.66,49.86399,23.13620650000009
2020-05-31T22:00:00Z,234.14,235.23,233.88,234.87,14.00065,23.423792000000088
2020-05-31T22:30:00Z,234.41,234.71,232.54,233.06,19.78735,24.12027300000009
2020-05-31T23:00:00Z,233.38,233.38,229.71,231.04,63.87121,26.23001250000009
2020-05-31T23:30:00Z,231.35,231.7,229.99,230.87,44.79756,28.46432000000009
2020-06-01T00:00:00Z,230.5,233.02,230.5,233,6.06783,27.920895000000087
2020-06-01T00:30:00Z,232.11,232.44,232.11,232.36,5.73282,25.896272000000085
2020-06-01T01:00:00Z,233.14,233.14,233.01,233.01,0.27101,20.686658000000083
2020-06-01T01:30:00Z,234.73,236.25,234.31,236.25,8.57094,18.85574350000008
2020-06-01T02:00:00Z,237.47,238.89,237.41,238.89,16.14205,18.561704000000084
2020-06-01T02:30:00Z,239.34,239.34,237.55,237.8,1.66612,18.29182800000008
2020-06-01T03:00:00Z,237.85,237.86,237.58,237.58,2.11441,14.735966000000081
2020-06-01T03:30:00Z,238.55,240.79,238.27,240.79,7.46673,14.79501600000008
